complexity,loss,score,equation,sympy_format,lambda_format
1,0.0668427,0.0,0.113170736,0.113170736000000,PySRFunction(X=>0.113170736000000)
5,0.064659804,0.008300589208012344,(0.10588875 + (-0.011782348 * x0)),0.10588875 - 0.011782348*x0,PySRFunction(X=>0.10588875 - 0.011782348*x0)
7,0.00044383307,2.490723248382302,exp(square(x0 + 2.0116963) * -1.0041662),exp(-4.0637822898844*(0.497092926004785*x0 + 1)**2),PySRFunction(X=>exp(-4.0637822898844*(0.497092926004785*x0 + 1)**2))
9,0.00044083517,0.0033887409313098195,exp((square(x0 + 2.0116963) + -0.0042296816) * -1.0041662),1.00425633587564*exp(-4.0637822898844*(0.497092926004785*x0 + 1)**2),PySRFunction(X=>1.00425633587564*exp(-4.0637822898844*(0.497092926004785*x0 + 1)**2))
10,0.0004395183,0.002991686923631504,(exp(square(x0 + 2.0116963) * -1.0041662) + square(0.031962294)),0.00102158823774244 + exp(-4.0637822898844*(0.497092926004785*x0 + 1)**2),PySRFunction(X=>0.00102158823774244 + exp(-4.0637822898844*(0.497092926004785*x0 + 1)**2))
11,0.00043696762,0.005820258243142936,(exp(square(x0 + 2.0116963) * -1.0041662) + square(square(0.22867697))),0.00273457422806865 + exp(-4.0637822898844*(0.497092926004785*x0 + 1)**2),PySRFunction(X=>0.00273457422806865 + exp(-4.0637822898844*(0.497092926004785*x0 + 1)**2))
13,0.0004369595,9.29139262800667e-06,(exp(square(x0 + 2.0116963) * -1.0041662) + square(square(-0.15852907) * 2.0116963)),0.0025559978358879 + exp(-4.0637822898844*(0.497092926004785*x0 + 1)**2),PySRFunction(X=>0.0025559978358879 + exp(-4.0637822898844*(0.497092926004785*x0 + 1)**2))
14,0.00043566944,0.002956722796360907,exp(square(x0 + square(square(1.1909101))) * (-1.0366871 + square(-0.07681545 * x0))),exp(4.04605542713008*(0.497146156354107*x0 + 1)**2*(0.0059006133587025*x0**2 - 1.0366871)),PySRFunction(X=>exp(4.04605542713008*(0.497146156354107*x0 + 1)**2*(0.0059006133587025*x0**2 - 1.0366871)))
16,0.00043247512,0.0036794959765960355,square(square(exp(square(x0 + (square(square(1.1730834)) + square(x0 * 0.161092))) * -0.30964127))),exp(-4.441707395712*(0.0137035279484855*x0**2 + 0.528061424610582*x0 + 1)**2),PySRFunction(X=>exp(-4.441707395712*(0.0137035279484855*x0**2 + 0.528061424610582*x0 + 1)**2))
18,0.00042605225,0.007481403687685906,square(square(exp(square(x0 + (square(square(1.1730834)) + ((-0.0764431 * -0.3220441) * square(x0)))) * -0.30964127))),exp(-4.441707395712*(0.0129998422059889*x0**2 + 0.528061424610582*x0 + 1)**2),PySRFunction(X=>exp(-4.441707395712*(0.0129998422059889*x0**2 + 0.528061424610582*x0 + 1)**2))
